Price,Date,County,Ozone,PM2.5,Conductance,PH,oil_count,Gas_Well_Number,positive_tests,fire
577690,2017-12,Los Angeles,0.031272171,19.06939759,2348.583499,8.08920385,2,1.712460064,0,9
564100,2018-01,Los Angeles,0.029615979,15.36616915,2348.583499,8.08920385,2,1.712460064,0,8
527280,2018-02,Los Angeles,0.042138418,11.25055249,2348.583499,8.08920385,2,1.712460064,0,7
528980,2018-03,Los Angeles,0.040010499,7.92086514,2348.583499,8.08920385,2,1.712460064,0,12
528540,2018-04,Los Angeles,0.051496,12.35944584,2348.583499,8.08920385,3,1,0,7
536940,2018-05,Los Angeles,0.047234694,9.863614458,2348.583499,8.08920385,2,1.712460064,0,6
586090,2018-06,Los Angeles,0.055204787,12.8778626,2348.583499,8.08920385,7,1.712460064,0,7
597520,2018-07,Los Angeles,0.054415816,12.75757576,2348.583499,8.08920385,6,1.712460064,0,5
607490,2018-08,Los Angeles,0.055683117,15.31525,2348.583499,8.08920385,4,1.712460064,0,7
634680,2018-09,Los Angeles,0.055737265,12.79168704,2348.583499,8.08920385,5,1.712460064,0,7
614500,2018-10,Los Angeles,0.044942211,11.06575,2348.583499,8.08920385,9,1.712460064,0,8
553940,2018-11,Los Angeles,0.038650667,13.10442708,2348.583499,8.08920385,2,1.712460064,0,7
588140,2018-12,Los Angeles,0.027314516,12.47077295,2348.583499,8.08920385,6,1.712460064,0,7
566010,2019-01,Los Angeles,0.029510582,10.25036496,2348.583499,8.08920385,1,1.712460064,0,12
541390,2019-02,Los Angeles,0.037478632,6.949465241,2348.583499,8.08920385,0,1.712460064,0,6
525520,2019-03,Los Angeles,0.043648438,6.952757794,2348.583499,8.08920385,2,1.712460064,0,9
544170,2019-04,Los Angeles,0.047,9.236609337,281,8.08920385,4,1.712460064,0,13
539480,2019-05,Los Angeles,0.045217391,8.548448687,2348.583499,8.08920385,2,1.712460064,0,7
599680,2019-06,Los Angeles,0.051941953,9.813658537,2348.583499,8.08920385,1,1.712460064,0,9
611230,2019-07,Los Angeles,0.056824121,13.3495122,2348.583499,8.08920385,1,1.712460064,0,4
627690,2019-08,Los Angeles,0.056989796,10.62302326,2348.583499,8.08920385,1,1.712460064,0,3
663110,2019-09,Los Angeles,0.0508,9.844168734,2348.583499,8.08920385,1,1.712460064,0,8
647900,2019-10,Los Angeles,0.052738035,11.61170732,2348.583499,8.08920385,1,1.712460064,0,6
594840,2019-11,Los Angeles,0.040366848,14.0302439,2348.583499,8.08920385,1,1.712460064,0,5
641340,2019-12,Los Angeles,0.026953216,10.79280576,330.6666667,7.816666667,3,1.712460064,0,6
617520,2020-01,Los Angeles,0.031536946,14.1859447,342.3333333,7.95,2,1.712460064,0,6
580690,2020-02,Los Angeles,0.042326316,11.3892944,393,8.433333333,1,1.712460064,13,7
567910,2020-03,Los Angeles,0.040737864,6.048306998,422.3333333,8.15,1,1.712460064,6779,6
565170,2020-04,Los Angeles,0.047374696,7.902278481,417.5,8.116666667,1,1.712460064,27186,4
553710,2020-05,Los Angeles,0.053644836,10.30235849,433.8333333,8.5,1,1.712460064,41997,4
619320,2020-06,Los Angeles,0.051232274,9.174468085,418.8333333,8.7,2,1.712460064,68072,3
660340,2020-07,Los Angeles,0.057021327,14.05106838,420.3333333,9.166666667,2,1.712460064,106672,4
692630,2020-08,Los Angeles,0.056973684,13.51551363,386,9.016666667,1,1.712460064,62759,4
766010,2020-09,Los Angeles,0.062773399,24.04292135,418.5,8.433333333,2,1.712460064,37881,6
745080,2020-10,Los Angeles,0.060517731,20.06169265,437.3333333,8.216666667,2,1.712460064,50219,7
673310,2020-11,Los Angeles,0.038811024,14.83340708,430.3333333,8.266666667,1,1.712460064,133349,6
660000,2020-12,Los Angeles,0.032553073,14.79956522,460.6666667,8.25,1,1.712460064,490279,5
697660,2021-01,Los Angeles,0.031957845,12.68864629,2348.583499,8.08920385,1,1.712460064,389415,6
664120,2021-02,Los Angeles,0.039544,11.18166259,2348.583499,8.08920385,1,1.712460064,78396,3
668220,2021-03,Los Angeles,0.045007009,8.616960352,511.5,8.15,1,1.712460064,25068,3
718440,2021-04,Los Angeles,0.051361244,11.84871795,501.5,8.416666667,1,1.712460064,16931,3
725680,2021-05,Los Angeles,0.051318396,11.76328294,509.8333333,8.466666667,2,1.712460064,8669,4
796120,2021-06,Los Angeles,0.052285372,10.19681093,533.8333333,8.5,1,1.712460064,9266,3
809750,2021-07,Los Angeles,0.053901176,12.654329,539,8.816666667,2,1.712460064,68288,3
830070,2021-08,Los Angeles,0.056370023,12.8754386,547,8.666666667,1,1.712460064,116215,2
886050,2021-09,Los Angeles,0.054358396,13.04487472,497.3333333,8.1,1,1.712460064,59345,2
848970,2021-10,Los Angeles,0.045420655,11.708,550.1666667,8.083333333,1,1.712460064,39838,1
760000,2021-11,Los Angeles,0.036566298,17.97811321,495.3333333,7.9,1,1.712460064,42168,2
770000,2021-12,Los Angeles,0.029979058,16.2751938,397.8,8.133333333,1,1.712460064,298574,3
527476.6703,2010-01,Orange,0.025364407,15.19452055,2340.842813,8.055819032,7,1.712460064,0,0
533804.8962,2010-02,Orange,0.035851852,12.72537313,2340.842813,8.055819032,7,1.712460064,0,1
550420,2010-03,Orange,0.045950413,8.986486486,2340.842813,8.055819032,7,1.712460064,0,0
546050,2010-04,Orange,0.049,10.04594595,2340.842813,8.055819032,5,1.712460064,0,0
555800,2010-05,Orange,0.04740404,10.38441558,2340.842813,8.055819032,7,1.712460064,0,3
566507.5329,2010-06,Orange,0.046606838,12.98428571,2340.842813,8.055819032,7,1.712460064,0,0
568970,2010-07,Orange,0.043482456,11.97594937,2340.842813,8.055819032,6,1.712460064,0,0
561900,2010-08,Orange,0.045180328,11.97105263,2340.842813,8.055819032,7,1.712460064,0,1
557390,2010-09,Orange,0.046318584,13.77671233,2340.842813,8.055819032,7,1.712460064,0,0
519140,2010-10,Orange,0.038554622,11.31641791,2340.842813,8.055819032,8,1.712460064,0,0
541220,2010-11,Orange,0.032775862,10.91,2340.842813,8.055819032,7,1.712460064,0,2
499810,2010-12,Orange,0.021237288,14.25846154,2340.842813,8.055819032,7,1.712460064,0,0
511590,2011-01,Orange,0.027286885,12.19864865,2340.842813,8.055819032,1,1.712460064,0,2
496540,2011-02,Orange,0.036495238,10.42835821,2340.842813,8.055819032,1,1.712460064,0,0
523610,2011-03,Orange,0.038401639,9.676,2340.842813,8.055819032,0,1.712460064,0,0
530140,2011-04,Orange,0.045889831,9.567567568,2340.842813,8.055819032,1,1.712460064,0,0
544700,2011-05,Orange,0.050108333,9.966233766,2340.842813,8.055819032,1,1.712460064,0,1
534680,2011-06,Orange,0.044932203,10.56756757,2340.842813,8.055819032,2,1.712460064,0,2
551510,2011-07,Orange,0.043581967,13.04868421,2340.842813,8.055819032,1,1.712460064,0,0
508910,2011-08,Orange,0.05106422,13.14225352,2340.842813,8.055819032,1,1.712460064,0,0
500000,2011-09,Orange,0.048889908,16.20869565,2340.842813,8.055819032,1,1.712460064,0,1
484390,2011-10,Orange,0.041318966,17.29220779,2340.842813,8.055819032,2,1.712460064,0,0
487610,2011-11,Orange,0.029823529,15.52297297,2340.842813,8.055819032,1,1.712460064,0,2
484630,2011-12,Orange,0.024720721,16.00933333,2340.842813,8.055819032,0,1.712460064,0,0
483510,2012-01,Orange,0.024789474,15.90921053,2340.842813,8.055819032,1,1.712460064,0,0
485380,2012-02,Orange,0.035559633,11.03380282,2340.842813,8.055819032,1,1.712460064,0,1
485300,2012-03,Orange,0.039364486,7.846268657,2340.842813,8.055819032,1,1.712460064,0,0
513950,2012-04,Orange,0.046865546,9.946575342,2340.842813,8.055819032,0,1.712460064,0,3
538340,2012-05,Orange,0.049532787,12.86103896,2340.842813,8.055819032,1,1.712460064,0,0
567910,2012-06,Orange,0.046077586,10.71578947,2340.842813,8.055819032,1,1.712460064,0,0
551160,2012-07,Orange,0.043008403,11.37368421,2340.842813,8.055819032,0,1.712460064,0,0
567710,2012-08,Orange,0.045438017,10.87846154,2340.842813,8.055819032,1,1.712460064,0,2
561830,2012-09,Orange,0.050598214,12.76307692,2340.842813,8.055819032,1,1.712460064,0,0
558680,2012-10,Orange,0.041608696,10.79480519,2340.842813,8.055819032,0,1.712460064,0,0
565020,2012-11,Orange,0.032033898,14.15833333,2340.842813,8.055819032,0,1.712460064,0,0
582930,2012-12,Orange,0.026318966,15.43421053,2340.842813,8.055819032,1,1.712460064,0,1
566500,2013-01,Orange,0.026966102,10.91791045,2340.842813,8.055819032,4,1.712460064,0,0
607230,2013-02,Orange,0.036461538,10.64179104,2340.842813,8.055819032,1,1.712460064,0,0
619430,2013-03,Orange,0.042728814,13.22567568,2340.842813,8.055819032,3,1.712460064,0,0
653740,2013-04,Orange,0.044991379,9.169565217,2340.842813,8.055819032,0,1.712460064,0,3
655630,2013-05,Orange,0.048079646,10.60410959,2340.842813,8.055819032,2,1.712460064,0,0
661740,2013-06,Orange,0.043205128,9.5515625,2340.842813,8.055819032,2,1.712460064,0,0
675000,2013-07,Orange,0.038141593,10.56849315,2340.842813,8.055819032,2,1.712460064,0,2
664580,2013-08,Orange,0.04406422,11.55087719,2340.842813,8.055819032,2,1.712460064,0,0
672680,2013-09,Orange,0.046357143,10.21216216,2340.842813,8.055819032,1,1.712460064,0,0
660080,2013-10,Orange,0.043541667,14.99868421,2340.842813,8.055819032,0,1.712460064,0,1
660890,2013-11,Orange,0.033144068,13.05774648,2340.842813,8.055819032,2,1.712460064,0,0
677660,2013-12,Orange,0.02820339,13.22394366,2340.842813,8.055819032,0,1.712460064,0,0
