,County,Date,Ozone,PM2.5
98,Alameda,2018-03,0.03522297297297297,7.7254901960784315
99,Alameda,2018-04,0.03936690647482015,9.134659090909091
100,Alameda,2018-05,0.03472727272727273,8.125806451612904
101,Alameda,2018-06,0.0335037037037037,10.431818181818182
102,Alameda,2018-07,0.028294520547945207,8.34
103,Alameda,2018-08,0.03204575163398692,14.339130434782609
104,Alameda,2018-09,0.032279999999999996,11.456111111111111
105,Alameda,2018-10,0.030283870967741936,8.69
106,Alameda,2018-11,0.03029530201342282,44.37267441860465
107,Alameda,2018-12,0.023404109589041093,8.864835164835165
108,Alameda,2019-01,0.026203947368421052,9.066666666666666
109,Alameda,2019-02,0.03416788321167883,4.255952380952381
110,Alameda,2019-03,0.037053333333333334,5.255978260869566
111,Alameda,2019-04,0.036288590604026845,7.265294117647058
