,area,date,positive_tests
370,Inyo,2021-10,458
371,Inyo,2021-11,215
372,Inyo,2021-12,295
373,Inyo,2022-01,1090
375,Kern,2020-02,0
376,Kern,2020-03,133
377,Kern,2020-04,616
378,Kern,2020-05,1529
379,Kern,2020-06,7526
380,Kern,2020-07,17354
381,Kern,2020-08,6275
382,Kern,2020-09,2844
383,Kern,2020-10,2488
384,Kern,2020-11,9686
385,Kern,2020-12,29479
386,Kern,2021-01,21045
387,Kern,2021-02,6067
388,Kern,2021-03,2393
389,Kern,2021-04,1200
390,Kern,2021-05,965
391,Kern,2021-06,726
392,Kern,2021-07,2718
393,Kern,2021-08,11527
394,Kern,2021-09,11661
395,Kern,2021-10,9036
396,Kern,2021-11,6207
397,Kern,2021-12,7905
398,Kern,2022-01,46964
400,Kings,2020-02,0
401,Kings,2020-03,11
402,Kings,2020-04,235
403,Kings,2020-05,1092
404,Kings,2020-06,1718
405,Kings,2020-07,2425
406,Kings,2020-08,1860
407,Kings,2020-09,1745
408,Kings,2020-10,954
409,Kings,2020-11,3265
410,Kings,2020-12,5691
411,Kings,2021-01,4984
412,Kings,2021-02,1382
413,Kings,2021-03,671
414,Kings,2021-04,275
415,Kings,2021-05,201
416,Kings,2021-06,151
417,Kings,2021-07,829
418,Kings,2021-08,3571
419,Kings,2021-09,3499
420,Kings,2021-10,2737
421,Kings,2021-11,1647
422,Kings,2021-12,1932
423,Kings,2022-01,13237
425,Lake,2020-02,0
426,Lake,2020-03,0
427,Lake,2020-04,10
428,Lake,2020-05,17
429,Lake,2020-06,64
430,Lake,2020-07,171
431,Lake,2020-08,172
432,Lake,2020-09,304
433,Lake,2020-10,177
434,Lake,2020-11,345
435,Lake,2020-12,1062
436,Lake,2021-01,996
437,Lake,2021-02,386
438,Lake,2021-03,195
439,Lake,2021-04,124
440,Lake,2021-05,97
441,Lake,2021-06,123
442,Lake,2021-07,899
443,Lake,2021-08,1338
444,Lake,2021-09,933
445,Lake,2021-10,533
446,Lake,2021-11,280
447,Lake,2021-12,275
448,Lake,2022-01,1976
450,Lassen,2020-02,0
451,Lassen,2020-03,0
452,Lassen,2020-04,0
453,Lassen,2020-05,15
454,Lassen,2020-06,259
455,Lassen,2020-07,525
456,Lassen,2020-08,124
457,Lassen,2020-09,39
458,Lassen,2020-10,83
459,Lassen,2020-11,1798
460,Lassen,2020-12,2362
461,Lassen,2021-01,445
462,Lassen,2021-02,226
463,Lassen,2021-03,48
464,Lassen,2021-04,41
465,Lassen,2021-05,63
466,Lassen,2021-06,122
467,Lassen,2021-07,83
468,Lassen,2021-08,602
469,Lassen,2021-09,810
470,Lassen,2021-10,544
471,Lassen,2021-11,283
472,Lassen,2021-12,104
473,Lassen,2022-01,1168
475,Los Angeles,2020-02,13
476,Los Angeles,2020-03,6779
477,Los Angeles,2020-04,27186
478,Los Angeles,2020-05,41997
479,Los Angeles,2020-06,68072
