,County,Date,Count
505,Kings,2020-02,0
506,Kings,2020-03,0
507,Kings,2020-04,0
508,Kings,2020-05,0
509,Kings,2020-06,0
510,Kings,2020-07,0
511,Kings,2020-08,0
512,Kings,2020-09,0
513,Kings,2020-10,0
514,Kings,2020-11,0
515,Kings,2020-12,0
516,Kings,2021-01,0
517,Kings,2021-02,0
518,Kings,2021-03,0
519,Kings,2021-04,0
520,Kings,2021-05,0
521,Kings,2021-06,0
522,Kings,2021-07,0
523,Kings,2021-08,0
524,Kings,2021-09,0
525,Kings,2021-10,0
526,Kings,2021-11,0
527,Kings,2021-12,0
528,Santa Barbara,2011-01,0
529,Santa Barbara,2011-02,1
530,Santa Barbara,2011-03,3
531,Santa Barbara,2011-04,7
532,Santa Barbara,2011-05,0
533,Santa Barbara,2011-06,0
534,Santa Barbara,2011-07,0
535,Santa Barbara,2011-08,0
536,Santa Barbara,2011-09,1
537,Santa Barbara,2011-10,1
538,Santa Barbara,2011-11,3
539,Santa Barbara,2011-12,2
540,Santa Barbara,2012-01,1
541,Santa Barbara,2012-02,2
542,Santa Barbara,2012-03,1
543,Santa Barbara,2012-04,1
544,Santa Barbara,2012-05,4
545,Santa Barbara,2012-06,7
546,Santa Barbara,2012-07,3
547,Santa Barbara,2012-08,2
548,Santa Barbara,2012-09,5
549,Santa Barbara,2012-10,6
550,Santa Barbara,2012-11,8
551,Santa Barbara,2012-12,3
552,Santa Barbara,2013-01,4
553,Santa Barbara,2013-02,2
554,Santa Barbara,2013-03,8
555,Santa Barbara,2013-04,4
556,Santa Barbara,2013-05,5
557,Santa Barbara,2013-06,6
558,Santa Barbara,2013-07,1
559,Santa Barbara,2013-08,4
560,Santa Barbara,2013-09,3
561,Santa Barbara,2013-10,2
562,Santa Barbara,2013-11,2
563,Santa Barbara,2013-12,0
564,Santa Barbara,2014-01,2
565,Santa Barbara,2014-02,1
566,Santa Barbara,2014-03,0
567,Santa Barbara,2014-04,0
568,Santa Barbara,2014-05,1
569,Santa Barbara,2014-06,1
570,Santa Barbara,2014-07,0
571,Santa Barbara,2014-08,0
572,Santa Barbara,2014-09,3
573,Santa Barbara,2014-10,4
574,Santa Barbara,2014-11,6
575,Santa Barbara,2014-12,0
576,Santa Barbara,2015-01,5
577,Santa Barbara,2015-02,0
578,Santa Barbara,2015-03,0
579,Santa Barbara,2015-04,0
580,Santa Barbara,2015-05,0
581,Santa Barbara,2015-06,0
582,Santa Barbara,2015-07,0
583,Santa Barbara,2015-08,2
584,Santa Barbara,2015-09,1
585,Santa Barbara,2015-10,0
586,Santa Barbara,2015-11,0
587,Santa Barbara,2015-12,0
588,Santa Barbara,2016-01,0
589,Santa Barbara,2016-02,0
590,Santa Barbara,2016-03,0
591,Santa Barbara,2016-04,0
592,Santa Barbara,2016-05,0
593,Santa Barbara,2016-06,0
594,Santa Barbara,2016-07,0
595,Santa Barbara,2016-08,1
596,Santa Barbara,2016-09,0
597,Santa Barbara,2016-10,0
598,Santa Barbara,2016-11,1
599,Santa Barbara,2016-12,0
600,Santa Barbara,2017-01,1
601,Santa Barbara,2017-02,0
602,Santa Barbara,2017-03,0
603,Santa Barbara,2017-04,0
604,Santa Barbara,2017-05,0
605,Santa Barbara,2017-06,0
606,Santa Barbara,2017-07,0
607,Santa Barbara,2017-08,0
608,Santa Barbara,2017-09,0
609,Santa Barbara,2017-10,3
610,Santa Barbara,2017-11,0
611,Santa Barbara,2017-12,0
612,Santa Barbara,2018-01,0
613,Santa Barbara,2018-02,0
614,Santa Barbara,2018-03,0
615,Santa Barbara,2018-04,0
616,Santa Barbara,2018-05,0
617,Santa Barbara,2018-06,0
618,Santa Barbara,2018-07,0
619,Santa Barbara,2018-08,0
620,Santa Barbara,2018-09,0
621,Santa Barbara,2018-10,0
622,Santa Barbara,2018-11,0
623,Santa Barbara,2018-12,0
624,Santa Barbara,2019-01,0
625,Santa Barbara,2019-02,0
626,Santa Barbara,2019-03,0
627,Santa Barbara,2019-04,0
628,Santa Barbara,2019-05,1
629,Santa Barbara,2019-06,1
630,Santa Barbara,2019-07,0
631,Santa Barbara,2019-08,0
632,Santa Barbara,2019-09,0
633,Santa Barbara,2019-10,2
634,Santa Barbara,2019-11,0
635,Santa Barbara,2019-12,0
636,Santa Barbara,2020-01,0
637,Santa Barbara,2020-02,0
638,Santa Barbara,2020-03,0
639,Santa Barbara,2020-04,0
640,Santa Barbara,2020-05,0
641,Santa Barbara,2020-06,0
642,Santa Barbara,2020-07,0
643,Santa Barbara,2020-08,0
644,Santa Barbara,2020-09,0
645,Santa Barbara,2020-10,0
646,Santa Barbara,2020-11,0
647,Santa Barbara,2020-12,0
648,Santa Barbara,2021-01,0
649,Santa Barbara,2021-02,0
650,Santa Barbara,2021-03,0
651,Santa Barbara,2021-04,0
652,Santa Barbara,2021-05,0
653,Santa Barbara,2021-06,0
654,Santa Barbara,2021-07,0
655,Santa Barbara,2021-08,0
656,Santa Barbara,2021-09,0
657,Santa Barbara,2021-10,0
658,Santa Barbara,2021-11,0
659,Santa Barbara,2021-12,0
660,Glenn,2011-01,0
661,Glenn,2011-02,0
662,Glenn,2011-03,0
663,Glenn,2011-04,0
664,Glenn,2011-05,0
665,Glenn,2011-06,0
666,Glenn,2011-07,0
667,Glenn,2011-08,0
668,Glenn,2011-09,0
669,Glenn,2011-10,0
670,Glenn,2011-11,0
671,Glenn,2011-12,0
672,Glenn,2012-01,0
673,Glenn,2012-02,0
674,Glenn,2012-03,0
675,Glenn,2012-04,0
676,Glenn,2012-05,0
677,Glenn,2012-06,0
678,Glenn,2012-07,0
679,Glenn,2012-08,0
680,Glenn,2012-09,0
681,Glenn,2012-10,0
682,Glenn,2012-11,0
683,Glenn,2012-12,0
684,Glenn,2013-01,0
685,Glenn,2013-02,0
686,Glenn,2013-03,0
687,Glenn,2013-04,0
688,Glenn,2013-05,0
689,Glenn,2013-06,0
690,Glenn,2013-07,0
691,Glenn,2013-08,0
692,Glenn,2013-09,0
693,Glenn,2013-10,0
694,Glenn,2013-11,0
695,Glenn,2013-12,0
696,Glenn,2014-01,0
697,Glenn,2014-02,0
698,Glenn,2014-03,0
699,Glenn,2014-04,0
700,Glenn,2014-05,0
701,Glenn,2014-06,0
702,Glenn,2014-07,0
703,Glenn,2014-08,0
704,Glenn,2014-09,0
705,Glenn,2014-10,0
706,Glenn,2014-11,0
707,Glenn,2014-12,0
708,Glenn,2015-01,0
709,Glenn,2015-02,0
710,Glenn,2015-03,0
711,Glenn,2015-04,0
712,Glenn,2015-05,0
713,Glenn,2015-06,0
714,Glenn,2015-07,0
715,Glenn,2015-08,0
716,Glenn,2015-09,0
717,Glenn,2015-10,0
718,Glenn,2015-11,0
719,Glenn,2015-12,0
720,Glenn,2016-01,0
721,Glenn,2016-02,0
722,Glenn,2016-03,0
723,Glenn,2016-04,0
724,Glenn,2016-05,0
725,Glenn,2016-06,0
726,Glenn,2016-07,0
727,Glenn,2016-08,0
728,Glenn,2016-09,0
729,Glenn,2016-10,0
730,Glenn,2016-11,0
731,Glenn,2016-12,0
732,Glenn,2017-01,0
733,Glenn,2017-02,0
734,Glenn,2017-03,0
735,Glenn,2017-04,0
736,Glenn,2017-05,0
737,Glenn,2017-06,0
738,Glenn,2017-07,0
739,Glenn,2017-08,0
740,Glenn,2017-09,0
741,Glenn,2017-10,0
742,Glenn,2017-11,1
743,Glenn,2017-12,0
744,Glenn,2018-01,0
745,Glenn,2018-02,0
746,Glenn,2018-03,0
747,Glenn,2018-04,0
748,Glenn,2018-05,0
749,Glenn,2018-06,0
750,Glenn,2018-07,0
751,Glenn,2018-08,0
752,Glenn,2018-09,0
753,Glenn,2018-10,0
754,Glenn,2018-11,0
755,Glenn,2018-12,0
756,Glenn,2019-01,0
757,Glenn,2019-02,0
758,Glenn,2019-03,0
759,Glenn,2019-04,0
760,Glenn,2019-05,0
761,Glenn,2019-06,0
762,Glenn,2019-07,0
763,Glenn,2019-08,0
764,Glenn,2019-09,0
765,Glenn,2019-10,0
766,Glenn,2019-11,0
767,Glenn,2019-12,0
768,Glenn,2020-01,0
769,Glenn,2020-02,0
770,Glenn,2020-03,0
771,Glenn,2020-04,0
772,Glenn,2020-05,0
773,Glenn,2020-06,0
774,Glenn,2020-07,0
775,Glenn,2020-08,0
776,Glenn,2020-09,0
777,Glenn,2020-10,0
778,Glenn,2020-11,0
779,Glenn,2020-12,0
780,Glenn,2021-01,0
781,Glenn,2021-02,0
782,Glenn,2021-03,0
783,Glenn,2021-04,0
784,Glenn,2021-05,0
785,Glenn,2021-06,0
786,Glenn,2021-07,0
787,Glenn,2021-08,0
788,Glenn,2021-09,0
789,Glenn,2021-10,0
790,Glenn,2021-11,0
791,Glenn,2021-12,0
792,Orange,2011-01,0
793,Orange,2011-02,0
794,Orange,2011-03,0
795,Orange,2011-04,1
796,Orange,2011-05,0
797,Orange,2011-06,0
798,Orange,2011-07,0
799,Orange,2011-08,1
800,Orange,2011-09,0
801,Orange,2011-10,1
802,Orange,2011-11,0
803,Orange,2011-12,0
804,Orange,2012-01,0
805,Orange,2012-02,0
806,Orange,2012-03,0
807,Orange,2012-04,0
808,Orange,2012-05,0
809,Orange,2012-06,0
810,Orange,2012-07,0
811,Orange,2012-08,0
812,Orange,2012-09,1
813,Orange,2012-10,0
814,Orange,2012-11,0
815,Orange,2012-12,0
816,Orange,2013-01,4
817,Orange,2013-02,1
818,Orange,2013-03,3
819,Orange,2013-04,0
820,Orange,2013-05,2
821,Orange,2013-06,0
822,Orange,2013-07,0
823,Orange,2013-08,0
824,Orange,2013-09,0
825,Orange,2013-10,0
826,Orange,2013-11,0
827,Orange,2013-12,0
828,Orange,2014-01,0
829,Orange,2014-02,0
830,Orange,2014-03,1
831,Orange,2014-04,0
832,Orange,2014-05,0
833,Orange,2014-06,2
834,Orange,2014-07,0
835,Orange,2014-08,1
836,Orange,2014-09,1
837,Orange,2014-10,1
838,Orange,2014-11,1
839,Orange,2014-12,0
840,Orange,2015-01,0
841,Orange,2015-02,0
842,Orange,2015-03,0
843,Orange,2015-04,0
844,Orange,2015-05,0
845,Orange,2015-06,0
846,Orange,2015-07,0
847,Orange,2015-08,0
848,Orange,2015-09,0
849,Orange,2015-10,0
850,Orange,2015-11,0
851,Orange,2015-12,0
852,Orange,2016-01,0
853,Orange,2016-02,0
854,Orange,2016-03,0
855,Orange,2016-04,0
856,Orange,2016-05,0
857,Orange,2016-06,0
858,Orange,2016-07,0
859,Orange,2016-08,0
860,Orange,2016-09,0
861,Orange,2016-10,0
862,Orange,2016-11,0
863,Orange,2016-12,0
864,Orange,2017-01,0
865,Orange,2017-02,0
866,Orange,2017-03,0
867,Orange,2017-04,0
868,Orange,2017-05,0
869,Orange,2017-06,0
870,Orange,2017-07,0
871,Orange,2017-08,0
872,Orange,2017-09,0
873,Orange,2017-10,0
874,Orange,2017-11,0
875,Orange,2017-12,0
876,Orange,2018-01,1
877,Orange,2018-02,1
878,Orange,2018-03,0
879,Orange,2018-04,3
880,Orange,2018-05,0
881,Orange,2018-06,0
882,Orange,2018-07,1
883,Orange,2018-08,2
884,Orange,2018-09,2
885,Orange,2018-10,1
886,Orange,2018-11,1
887,Orange,2018-12,1
888,Orange,2019-01,1
889,Orange,2019-02,1
890,Orange,2019-03,1
891,Orange,2019-04,1
892,Orange,2019-05,3
893,Orange,2019-06,3
894,Orange,2019-07,2
895,Orange,2019-08,2
896,Orange,2019-09,2
897,Orange,2019-10,2
898,Orange,2019-11,0
899,Orange,2019-12,6
900,Orange,2020-01,0
901,Orange,2020-02,0
902,Orange,2020-03,1
903,Orange,2020-04,3
904,Orange,2020-05,2
905,Orange,2020-06,3
906,Orange,2020-07,2
907,Orange,2020-08,2
908,Orange,2020-09,1
909,Orange,2020-10,5
910,Orange,2020-11,1
911,Orange,2020-12,1
912,Orange,2021-01,0
913,Orange,2021-02,1
914,Orange,2021-03,5
915,Orange,2021-04,3
916,Orange,2021-05,4
917,Orange,2021-06,2
918,Orange,2021-07,4
919,Orange,2021-08,3
920,Orange,2021-09,3
921,Orange,2021-10,2
922,Orange,2021-11,0
923,Orange,2021-12,2
924,Monterey,2011-01,2
925,Monterey,2011-02,0
926,Monterey,2011-03,0
927,Monterey,2011-04,5
928,Monterey,2011-05,4
929,Monterey,2011-06,3
930,Monterey,2011-07,1
931,Monterey,2011-08,1
932,Monterey,2011-09,1
933,Monterey,2011-10,2
934,Monterey,2011-11,1
935,Monterey,2011-12,1
936,Monterey,2012-01,2
937,Monterey,2012-02,0
938,Monterey,2012-03,0
939,Monterey,2012-04,2
940,Monterey,2012-05,4
941,Monterey,2012-06,4
942,Monterey,2012-07,7
943,Monterey,2012-08,3
944,Monterey,2012-09,7
945,Monterey,2012-10,3
946,Monterey,2012-11,2
947,Monterey,2012-12,1
948,Monterey,2013-01,3
949,Monterey,2013-02,4
950,Monterey,2013-03,3
951,Monterey,2013-04,2
952,Monterey,2013-05,1
953,Monterey,2013-06,2
954,Monterey,2013-07,6
955,Monterey,2013-08,6
956,Monterey,2013-09,8
957,Monterey,2013-10,3
958,Monterey,2013-11,3
959,Monterey,2013-12,0
960,Monterey,2014-01,4
961,Monterey,2014-02,4
962,Monterey,2014-03,4
963,Monterey,2014-04,3
964,Monterey,2014-05,8
965,Monterey,2014-06,4
966,Monterey,2014-07,4
967,Monterey,2014-08,2
968,Monterey,2014-09,4
969,Monterey,2014-10,0
970,Monterey,2014-11,0
971,Monterey,2014-12,2
972,Monterey,2015-01,2
973,Monterey,2015-02,2
974,Monterey,2015-03,0
975,Monterey,2015-04,0
976,Monterey,2015-05,0
977,Monterey,2015-06,3
978,Monterey,2015-07,3
979,Monterey,2015-08,5
980,Monterey,2015-09,3
981,Monterey,2015-10,6
982,Monterey,2015-11,10
983,Monterey,2015-12,6
984,Monterey,2016-01,0
985,Monterey,2016-02,0
986,Monterey,2016-03,0
987,Monterey,2016-04,0
988,Monterey,2016-05,0
989,Monterey,2016-06,1
990,Monterey,2016-07,0
991,Monterey,2016-08,0
992,Monterey,2016-09,0
993,Monterey,2016-10,0
994,Monterey,2016-11,2
995,Monterey,2016-12,1
996,Monterey,2017-01,0
997,Monterey,2017-02,0
