,County,Date,fire
993,Los Angeles,2018-06,1
997,Los Angeles,2018-07,1
998,Los Angeles,2018-08,1
999,Los Angeles,2018-09,1
1001,Los Angeles,2018-11,1
1002,Los Angeles,2019-01,1
1010,Los Angeles,2019-08,1
1013,Los Angeles,2019-10,1
1019,Los Angeles,2019-11,1
1022,Madera,2013-04,1
1023,Madera,2013-05,1
1028,Madera,2013-06,1
1032,Madera,2014-07,1
1034,Madera,2014-08,1
1037,Madera,2014-09,1
1039,Madera,2014-12,1
1040,Madera,2015-06,1
1046,Madera,2015-07,1
1047,Madera,2015-08,1
1048,Madera,2016-07,1
1054,Madera,2016-08,1
1056,Madera,2017-05,1
1057,Madera,2017-06,1
1060,Madera,2017-07,1
1061,Madera,2017-08,1
1062,Madera,2017-09,1
1065,Madera,2018-01,1
1074,Madera,2018-05,1
1075,Madera,2018-06,1
1078,Madera,2018-07,1
1080,Madera,2018-08,1
1082,Madera,2018-09,1
1083,Madera,2019-01,1
1092,Madera,2019-07,1
1094,Marin,1969-12,1
1095,Marin,2017-06,1
1096,Marin,2017-07,1
1097,Marin,2018-01,1
1099,Marin,2018-06,1
1100,Marin,2018-09,1
1101,Marin,2019-01,1
1104,Marin,2019-10,1
1106,Mariposa,2013-06,1
1108,Mariposa,2014-05,1
1109,Mariposa,2014-06,1
1114,Mariposa,2014-07,1
1116,Mariposa,2014-08,1
1119,Mariposa,2014-09,1
1123,Mariposa,2014-10,1
1125,Mariposa,2014-12,1
1126,Mariposa,2015-06,1
1130,Mariposa,2015-09,1
1132,Mariposa,2017-06,1
1134,Mariposa,2017-07,1
1137,Mariposa,2017-08,1
1140,Mariposa,2017-09,1
1143,Mariposa,2017-10,1
1144,Mariposa,2018-01,1
1156,Mariposa,2018-06,1
1158,Mariposa,2018-07,1
1160,Mariposa,2018-08,1
1161,Mariposa,2019-01,1
1166,Mariposa,2019-07,1
1168,Mariposa,2019-08,1
1170,Mariposa,2019-10,1
1176,Mendocino,2013-07,1
1178,Mendocino,2013-09,1
1180,Mendocino,2013-11,1
1182,Mendocino,2013-12,1
1184,Mendocino,2014-07,1
1185,Mendocino,2014-09,1
1190,Mendocino,2015-06,1
1192,Mendocino,2015-07,1
1196,Mendocino,2015-08,1
1198,Mendocino,2016-08,1
1200,Mendocino,2016-09,1
1202,Mendocino,2017-07,1
1204,Mendocino,2017-09,1
1205,Mendocino,2017-10,1
1206,Mendocino,2018-01,1
1209,Mendocino,2018-02,1
1210,Mendocino,2018-07,1
1215,Mendocino,2018-08,1
1216,Mendocino,2018-11,1
1217,Mendocino,2019-01,1
1224,Mendocino,2019-07,1
1225,Mendocino,2019-08,1
1227,Mendocino,2019-10,1
1229,Mendocino,2019-11,1
1232,Merced,1969-12,1
1233,Merced,2013-06,1
1235,Merced,2014-07,1
1237,Merced,2015-05,1
1239,Merced,2015-07,1
1242,Merced,2015-08,1
1243,Merced,2016-04,1
1245,Merced,2016-06,1
1247,Merced,2017-05,1
1248,Merced,2018-01,1
1250,Merced,2018-05,1
1252,Merced,2018-06,1
1256,Merced,2019-01,1
1262,Merced,2019-06,1
1263,Merced,2019-07,1
1264,Mexico,2019-08,1
1268,Modoc,2013-07,1
1270,Modoc,2013-09,1
1274,Modoc,2014-07,1
1279,Modoc,2014-08,1
1282,Modoc,2015-07,1
1290,Modoc,2016-09,1
1293,Modoc,2016-10,1
1294,Modoc,2017-04,1
1295,Modoc,2017-06,1
1297,Modoc,2017-07,1
1301,Modoc,2017-08,1
1304,Modoc,2018-01,1
1314,Modoc,2018-07,1
1316,Modoc,2018-08,1
1317,Modoc,2018-09,1
1318,Modoc,2019-01,1
1322,Modoc,2019-07,1
1325,Modoc,2019-08,1
1328,Modoc,2019-09,1
1330,Mono,2015-02,1
1334,Mono,2015-08,1
1336,Mono,2016-06,1
1337,Mono,2016-07,1
1338,Mono,2016-08,1
1342,Mono,2017-08,1
1343,Mono,2017-11,1
1344,Mono,2018-01,1
1346,Mono,2018-09,1
1347,Mono,2019-01,1
1348,Mono,2019-09,1
1350,Monterey,2013-06,1
1352,Monterey,2013-07,1
1354,Monterey,2013-12,1
1356,Monterey,2014-03,1
1358,Monterey,2014-04,1
1359,Monterey,2014-05,1
1360,Monterey,2014-06,1
1362,Monterey,2015-09,1
1366,Monterey,2016-05,1
1370,Monterey,2016-06,1
1376,Monterey,2016-07,1
1379,Monterey,2016-10,1
1380,Monterey,2017-04,1
1381,Monterey,2017-05,1
1384,Monterey,2017-06,1
1389,Monterey,2017-07,1
1391,Monterey,2017-08,1
1392,Monterey,2017-09,1
1393,Monterey,2017-10,1
1394,Monterey,2018-01,1
1408,Monterey,2018-02,1
1409,Monterey,2018-06,1
1412,Monterey,2018-08,1
1414,Monterey,2018-09,1
1415,Monterey,2018-10,1
1417,Monterey,2019-01,1
1425,Monterey,2019-06,1
1430,Monterey,2019-07,1
1434,Monterey,2019-08,1
1435,Monterey,2019-09,1
1437,Monterey,2019-10,1
1440,Napa,2013-04,1
1441,Napa,2013-05,1
1442,Napa,2013-10,1
1444,Napa,2013-11,1
1446,Napa,2014-07,1
1448,Napa,2014-08,1
1450,Napa,2014-09,1
1452,Napa,2015-06,1
1458,Napa,2015-08,1
1460,Napa,2016-10,1
1462,Napa,2017-06,1
1463,Napa,2017-08,1
1464,Napa,2017-10,1
1468,Napa,2018-01,1
1471,Napa,2018-02,1
1474,Napa,2018-05,1
1475,Napa,2018-06,1
1476,Napa,2018-07,1
1477,Napa,2018-08,1
1478,Napa,2018-09,1
1479,Napa,2019-01,1
1484,Napa,2019-06,1
1486,Napa,2019-07,1
1487,Napa,2019-10,1
1490,Nevada,1969-12,1
1491,Nevada,2013-08,1
1493,Nevada,2014-07,1
1495,Nevada,2014-08,1
1497,Nevada,2014-09,1
1499,Nevada,2015-07,1
1500,Nevada,2015-08,1
1501,Nevada,2015-09,1
1503,Nevada,2016-09,1
1506,Nevada,2017-07,1
1509,Nevada,2017-08,1
1510,Nevada,2017-10,1
1513,Nevada,2018-01,1
1518,Nevada,2018-02,1
1520,Nevada,2018-08,1
1521,Nevada,2019-01,1
1522,Nevada,2019-06,1
1524,Orange,2013-10,1
1526,Orange,2014-09,1
1528,Orange,2015-07,1
1530,Orange,2016-06,1
1532,Orange,2016-08,1
1533,Orange,2016-09,1
1534,Orange,2017-09,1
1535,Orange,2017-10,1
1536,Orange,2018-03,1
1537,Orange,2018-04,1
1538,Orange,2018-06,1
1540,Orange,2018-08,1
1541,Orange,2019-01,1
1544,Placer,2013-06,1
1546,Placer,2013-08,1
1548,Placer,2014-01,1
1550,Placer,2014-07,1
1552,Placer,2014-10,1
1554,Placer,2015-06,1
1556,Placer,2015-07,1
1558,Placer,2016-05,1
1560,Placer,2016-06,1
1563,Placer,2016-07,1
1564,Placer,2018-08,1
1565,Placer,2018-09,1
1566,Placer,2019-01,1
1568,Placer,2019-05,1
1570,Placer,2019-06,1
1574,Placer,2019-09,1
1575,Placer,2019-11,1
1578,Plumas,2013-08,1
1580,Plumas,2015-04,1
1582,Plumas,2016-09,1
1583,Plumas,2016-10,1
1584,Plumas,2017-07,1
1585,Plumas,2017-08,1
1587,Plumas,2017-09,1
1589,Plumas,2018-01,1
1594,Plumas,2018-04,1
1595,Plumas,2018-08,1
1596,Plumas,2019-01,1
1598,Plumas,2019-09,1
1600,Riverside,2013-02,1
1601,Riverside,2013-03,1
1602,Riverside,2013-05,1
1614,Riverside,2013-06,1
1620,Riverside,2013-07,1
1628,Riverside,2013-08,1
1638,Riverside,2014-03,1
1642,Riverside,2014-06,1
1646,Riverside,2014-07,1
1648,Riverside,2014-09,1
1650,Riverside,2015-04,1
1652,Riverside,2015-06,1
1658,Riverside,2015-07,1
1662,Riverside,2015-08,1
1664,Riverside,2016-06,1
1666,Riverside,2016-07,1
1668,Riverside,2016-08,1
1671,Riverside,2016-09,1
1672,Riverside,2017-04,1
1675,Riverside,2017-05,1
1681,Riverside,2017-06,1
1693,Riverside,2017-07,1
1705,Riverside,2017-08,1
1713,Riverside,2017-09,1
1716,Riverside,2017-10,1
1719,Riverside,2017-11,1
1720,Riverside,2017-12,1
1724,Riverside,2018-01,1
1776,Riverside,2018-04,1
1780,Riverside,2018-05,1
1784,Riverside,2018-06,1
1789,Riverside,2018-07,1
1795,Riverside,2018-08,1
1800,Riverside,2018-09,1
1801,Riverside,2019-01,1
1826,Riverside,2019-04,1
1828,Riverside,2019-05,1
1834,Riverside,2019-06,1
1842,Riverside,2019-07,1
1850,Riverside,2019-08,1
1860,Riverside,2019-09,1
1874,Riverside,2019-10,1
1884,Riverside,2019-11,1
1892,Sacramento,2013-07,1
1894,Sacramento,2015-09,1
1896,Sacramento,2016-06,1
1898,Sacramento,2016-07,1
1900,Sacramento,2016-09,1
1902,Sacramento,2017-06,1
1904,Sacramento,2017-07,1
1905,Sacramento,2018-01,1
1908,Sacramento,2018-06,1
1909,Sacramento,2019-01,1
1910,Sacramento,2019-08,1
1914,San Benito,2013-05,1
1916,San Benito,2015-07,1
1918,San Benito,2015-10,1
1920,San Benito,2016-06,1
1926,San Benito,2016-07,1
1928,San Benito,2017-05,1
1929,San Benito,2017-07,1
1930,San Benito,2017-11,1
1931,San Benito,2018-01,1
1934,San Benito,2018-06,1
1939,San Benito,2018-07,1
1942,San Benito,2019-01,1
1950,San Benito,2019-09,1
1954,San Bernardino,2013-04,1
1956,San Bernardino,2013-05,1
1958,San Bernardino,2013-06,1
1959,San Bernardino,2013-07,1
1962,San Bernardino,2013-08,1
1970,San Bernardino,2013-09,1
1974,San Bernardino,2014-04,1
1975,San Bernardino,2014-05,1
1976,San Bernardino,2014-10,1
1978,San Bernardino,2015-06,1
1981,San Bernardino,2015-07,1
1985,San Bernardino,2015-08,1
1989,San Bernardino,2015-09,1
1990,San Bernardino,2016-08,1
1994,San Bernardino,2016-09,1
1998,San Bernardino,2017-04,1
1999,San Bernardino,2017-05,1
2000,San Bernardino,2017-06,1
2002,San Bernardino,2017-07,1
2010,San Bernardino,2017-08,1
2011,San Bernardino,2017-10,1
2012,San Bernardino,2017-11,1
2013,San Bernardino,2017-12,1
2015,San Bernardino,2018-01,1
2031,San Bernardino,2018-04,1
2032,San Bernardino,2018-06,1
2033,San Bernardino,2018-07,1
2036,San Bernardino,2018-08,1
2037,San Bernardino,2018-09,1
2038,San Bernardino,2018-11,1
2039,San Bernardino,2019-01,1
