ArchiveYear,County,Extinguished,Started
2014,San Bernardino,2014-10-17T18:15:00Z,2014-10-16T14:34:00Z
2014,San Luis Obispo,2014-07-08T18:30:00Z,2014-07-07T16:12:00Z
2014,Fresno,2014-06-11T07:30:00Z,2014-06-09T15:15:00Z
2014,Nevada,2014-07-08T06:56:00Z,2014-07-07T16:35:00Z
2014,Humboldt,2014-08-02T08:00:00Z,2014-08-01T15:47:00Z
2014,Stanislaus,2014-05-29T08:45:00Z,2014-05-27T11:23:00Z
2014,Riverside,2014-06-07T19:00:00Z,2014-06-06T17:32:00Z
2014,Siskiyou,2014-08-02T11:00:00Z,2014-07-29T13:00:00Z
2014,El Dorado,2014-07-09T16:45:00Z,2014-07-09T14:34:00Z
2014,San Diego,2014-05-06T10:20:00Z,2014-05-05T16:36:00Z
2014,Napa,2014-09-15T14:20:00Z,2014-09-11T15:14:00Z
2014,Ventura,2014-09-30T15:00:00Z,2014-09-29T19:35:00Z
2014,Shasta,2014-08-29T13:15:00Z,2014-08-29T12:21:00Z
2014,Fresno,2014-06-09T19:15:00Z,2014-06-11T07:30:00Z
2014,El Dorado,2014-09-25T07:27:00Z,2014-09-25T18:00:00Z
2014,San Diego,2014-08-17T07:45:00Z,2014-08-16T16:22:00Z
2014,Humboldt,2014-01-04T18:30:00Z,2014-01-03T10:30:00Z
2014,Trinity,2014-07-03T10:45:00Z,2014-07-01T03:45:00Z
2014,Placer,2014-07-22T18:00:00Z,2014-07-21T14:49:00Z
2014,Riverside,2014-06-04T16:30:00Z,2014-06-04T15:18:00Z
2014,Madera,2014-12-12T13:45:00Z,2014-08-26T16:23:00Z
2014,Napa,2014-08-31T18:00:00Z,2014-08-24T03:20:00Z
2014,Siskiyou,2014-08-14T09:30:00Z,2014-08-11T22:00:00Z
2015,Fresno,2015-11-09T12:00:00Z,2015-07-31T19:00:00Z
2015,Trinity,2015-07-31T20:25:00Z,2015-07-30T22:30:00Z
2015,Lake,2015-08-14T18:15:00Z,2015-07-29T15:29:00Z
